0,-1776.686109,-62.14852233,45
1,-31.10960016,-0.42989124,1575
2,-8.011962564,-0.742411258,3105
3,-2.250975659,-5.23E-04,4635
4,-0.464303223,-0.023578027,6165
5,-0.194853363,-0.018320495,7695
6,-0.116113717,-5.88E-04,9225
7,-0.102844579,-2.73E-04,10755
8,-0.184081859,-0.006353861,12285
9,-0.140442477,-0.005354063,13815
10,-0.164444564,-0.0037767,15345
11,-0.202604085,-0.012115179,16875
12,-0.234758955,-0.032857982,18405
13,-0.13216604,-0.011016035,19935
14,-0.210326994,-0.004160558,21465
15,-0.233680549,-0.062242986,22995
16,-0.360136665,-0.065824796,24525
17,-0.150395836,-0.006785128,26055
18,-0.162868154,-0.015330778,27585
19,-0.200710155,-0.023638033,29115
20,-0.177804885,-0.021038355,30645
21,-0.149932515,-0.013494925,32175
22,-0.338718128,-1.60E-04,33705
23,-0.316862742,-0.024207724,35235
24,-0.165886868,-4.50E-04,36765
25,-0.12760584,-0.01403403,38295
26,-0.338226679,-0.003812949,39825
27,-0.195142854,-0.00784106,41355
28,-0.236587684,-0.03625804,42885
29,-0.278021188,-0.001960739,44415
30,-0.246456018,-0.032699696,45945
31,-0.301370878,-0.010906456,47475
32,-0.262695439,-8.80E-04,49005
33,-0.146500257,-0.0165095,50535
34,-0.114617735,-0.013453237,52065
35,-0.215985669,-0.002661024,53595
36,-0.210368883,-0.062641029,55125
37,-0.252780023,-0.01461586,56655
38,-0.174437429,-0.009906067,58185
39,-0.09796576,-0.012684491,59715
40,-0.228308891,-0.012661702,61245
41,-0.103126762,-0.005720924,62775
42,-0.210077269,-0.005447394,64305
43,-0.34191448,-0.002089723,65835
44,-0.280059588,-0.056821183,67365
45,-0.222364483,-0.053640937,68895
46,-0.279591354,-0.021996181,70425
47,-0.122363286,-0.011318576,71955
48,-0.240035185,-0.006644763,73485
49,-0.289330441,-0.209615992,75015
50,-0.200852963,-0.03079003,76545
51,-0.410628353,-0.110428354,78075
52,-0.136024893,-0.011064696,79605
53,-0.126400085,-0.005054987,81135
54,-0.461820467,-0.022509124,82665
55,-0.18095211,-0.04224516,84195
56,-0.225921816,-2.67E-04,85725
57,-0.271672955,-0.145070095,87255
58,-0.351201083,-0.080940522,88785
59,-0.217421841,-0.022120395,90315
60,-0.176780118,-0.010279049,91845
61,-0.264600452,-0.015488331,93375
62,-0.15966212,-0.002221385,94905
63,-0.234341534,-1.62E-04,96435
64,-0.322734692,-3.84E-04,97965
65,-0.190950415,-0.003644963,99495
66,-0.143697564,-4.80E-04,101025
67,-0.08921016,-3.54E-04,102555
68,-0.387190057,-0.010484871,104085
69,-0.182091023,-0.014092917,105615
