EA ALGORITHM - MaxOnes
{mutation_rate=0.01, terminate_gen_value=1000, bit_string_length=32, crossover_rate=0.5, name=MaxOnes, pop_size=100, terminate_value=0.5}
130 423205596239 3.878223238701E11 0.25
131 424812391775 3.7776319311914E11 0.18
132 424809088575 3.872014537279E11 0.13
133 424809088575 4.0232371693253E11 0.29
134 424809088575 3.9330608773294E11 0.17
135 424809088575 3.8563713846072E11 0.24
136 424864216319 3.793194470273E11 0.14
137 424864216319 3.8351914891441E11 0.28
138 424864216319 3.8957755931212E11 0.13
139 424187266151 3.942204883602E11 0.21
140 424625213919 3.9583824963392E11 0.17
141 423696162039 3.8369057947385E11 0.31
142 423696162039 3.9460511447721E11 0.35
143 423696162039 3.9044694767598E11 0.19
144 425019510559 3.9568607069291E11 0.14
145 423847831739 3.9937930538168E11 0.23
146 424474732159 3.9974213312405E11 0.2
147 424474732159 3.9212367780397E11 0.27
148 424809484175 3.9790019765576E11 0.16
149 424809503375 3.9719495977821E11 0.2
150 424809503575 4.0210559645785E11 0.22
151 424810057175 3.9677528033568E11 0.2
152 424809881175 3.8769196241352E11 0.19
153 424809818375 3.9199139496126E11 0.28
154 424703250991 3.9421529549606E11 0.18
155 424770897696 3.9127496875956E11 0.34
156 422799083200 3.9195321898231E11 0.21
157 422453072271 3.9329730690917E11 0.33
158 422453072271 3.9408967748305E11 0.54
Most fit in population
WINNER | 1111111100101100 0101101100001110 | X : 65324 Y : 23310
Most fit overall
WINNER | 1111111111111111 0000010011110100 | X : 65535 Y : 1268
